item_id,image_url,golden,predictions
603203698,https://i5.walmartimages.com/asr/bd4fa7db-48bf-4f26-b713-e4abf3aa14f3_1.dac1513b380cb641ac986199ebe26ee3.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['lighting clip', 'mounting clip']","['bulbs', 'christmas light clips', 'christmas lights', 'lighting']"
639273714,https://i5.walmartimages.com/asr/076e1c37-5b9c-440e-96c5-7f3e43e4c812_1.a0267cc50cbbbadc13629114b82d2fa6.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['Pillow Case', 'Cushion Cover']","['pillow cover', 'accent cushion cover', 'cushion cover', 'cover skiing', 'pillow', 'snowflakes', 'cover', 'accent cushion', 'cushion']"
575444084,https://i5.walmartimages.com/asr/45d264ef-992f-4f5b-9595-964a9f684f8d.c0e016176dd37e38e017cba1263357f9.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['AIRTIGHT COIN CAPSULES', 'Plastic Coin Capsules', '100 Pieces Clear Plastic Coin Capsules']","['coin capsules', 'coin', 'coin storage', 'holder container']"
254734420,https://i5.walmartimages.com/asr/bd7f3d36-bddb-48ed-9d50-a6b84ffcd166_1.96dd1a78c2e2cf39ce4237f82e36bad0.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['Pet Mat', 'Non-Slip Rubber Mat', 'Floral Pet Mat']","['pet mat', 'mats along', 'mats', 'pet mats for food', 'pet mat for food']"
509823506,https://i5.walmartimages.com/asr/70e89273-26ee-4e72-9456-a65e9aa348b5.2074fa774d19534fad94b7fe17a15bdc.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['Card Plaque'],"['card plaque', 'two card']"
859600566,,['Dress'],"['top back', 'dress']"
481839758,https://i5.walmartimages.com/asr/ff74dc7e-878f-42dd-8239-8ca014adef7a_1.318b932a1376fa5cdab48c140e830ece.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,['Hub'],"['hub', 'abs']"
800528165,,"['"" repellent "" patc']","['deerfly', 'protection repellent', 'gnats', 'bug repellent', 'black flies', 'gnat kamikaze', 'repellent', 'deerfly patches', 'gnat', 'repellent patch']"
692027861,https://i5.walmartimages.com/asr/cc826170-b7ed-4899-9f35-a483dc74e9aa_2.77dce2c40c12cd5618510866ced0ed73.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['Stand Legs'],['stand legs']
382550408,https://i5.walmartimages.com/asr/31c2d7a8-8ee9-40a7-9902-f89dfa11fb83_1.8331cc473fc91412c4df7e32b072d018.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['Case', 'Cover']",['ipad']
412114332,https://i5.walmartimages.com/asr/8472d3a9-2723-4047-b35c-d20df99af929_1.861017087ff337925c390352644efa35.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['Pet Mat', 'Funny Pet Mat', 'Ambesonne pet mat', 'Non-Slip Rubber Mat for Dogs and Cats']","['pet mat', 'mat for dogs', 'mats', 'pet mats for food', 'pet mat for food']"
200589844,https://i5.walmartimages.com/asr/a00f375b-d942-48ec-84b4-c3aa8ac46630_1.4736425329e2cdadcb621f041902f1a8.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['light clip'],"['lights', 'outlet omni', 'lighting']"
488209556,https://i5.walmartimages.com/asr/a6bb4b04-c058-4d0d-aceb-0f4345650c99.4721cb68942a05e25fcac8bb3fa93356.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['Case'],['bump case']
167061985,https://i5.walmartimages.com/asr/de2e8342-3163-4432-ba10-0659a17a863f_1.6fab2d37e0180abb926ea12ce7031b7d.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,['Configuration Tool'],"['fixtures', 'control settings', 'handheld wireless', 'lighting', 'fixture', 'ambient light']"
471416693,https://i5.walmartimages.com/asr/23d7ef7c-b319-431e-afe8-19bf657f5cad.b5ac8adbedf0276abdcfbf4dc9db24c2.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,"['No-Cord Pillow', 'noncorded pillows', 'pillows']","['pillow', 'cord pillow']"
382395728,https://i5.walmartimages.com/asr/5cdbf6cc-4a45-4cbf-95fa-6df11a50fb6f_1.c203d4db469a1ae9575b9065003b4b95.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['door hanger', 'Sesame Street Bert and Ernie Bros Plastic Door Knob Hanger Sign']","['door', 'door knobs', 'door hangers']"
346391213,https://i5.walmartimages.com/asr/146c9a1c-7ce2-49b9-a42e-969b4029a787_1.36643b9724a09cb7664e53acc58fdf9f.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,[],"['brakeline', 'hose', 'hose brakeline']"
678153025,https://i5.walmartimages.com/asr/7971771d-fcad-427c-be4b-9a496fd35282_1.4312412e955be8f5c613bce7e630bae2.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['Screen Protector'],"['screen protector', 'superguardz', 'superguardz highest', 'bubble anti', 'protector anti']"
193389453,https://i5.walmartimages.com/asr/cd7bd920-2f9a-43b3-ab4b-997cdb3ca0b9_1.2b5b61bded97854b4f811d8b384d50c9.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['AC/DC Adapter'],"['adapter', 'upbright', 'airbrush brush', 'dc adapter']"
620664792,https://i5.walmartimages.com/asr/5e16a00a-5ecf-409b-b182-5ab936b7daf8_1.d4cb46db11b5ebd8d18e7ed9a7da24f6.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['Perfume Oil', 'Scent Spray']","['den fresh', 'fragrance', 'perfume oil', 'l bottle', 'perfume']"
872532596,https://i5.walmartimages.com/asr/00f1d016-4571-4e08-8c54-47d2b80f1a29_1.b6977a26491abe424d0223cdab157ab7.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,"['Self-Seal Envelopes', 'Self-Seal Envelopes']","['envelopes ultra strong', 'press seal', 'envelopes']"
445648544,https://i5.walmartimages.com/asr/1ba8e369-fe63-4f67-a9da-4ff0afd3560a_1.4d6474b583218c13b68bfe02a1dcf385.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,['dress'],['decorative bows']
571397036,https://i5.walmartimages.com/asr/4f218277-33b0-4c1e-b4ca-072bcf7432a5.e9f692f2b992a8a5c46db9f7e393f95e.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,"['Mold', 'Baking Moulds', 'Bakeware Trays']","['bakeware', 'cake mold', 'mold chocolate', 'candy mold', 'for candy', 'oven']"
568497695,https://i5.walmartimages.com/asr/146c9a1c-7ce2-49b9-a42e-969b4029a787_1.36643b9724a09cb7664e53acc58fdf9f.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,['Replacement'],"['rear', 'rear ranch', 'bottom rear', 'seat', 'seat bottom']"
294149123,,['Whiskey Decanter Set'],"['ice tumbler', 'liquor', 'whiskey decanter', 'whiskey', 'decanters', 'decanter']"
531047859,https://i5.walmartimages.com/asr/ea1ee269-9e08-4863-87a9-9bbdaa9bdb85.fa2fdbbaa86cabac192ce7ffa527211d.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['Ball Cap'],['ball cap']
794443212,https://i5.walmartimages.com/asr/e348c160-4c2b-49f0-bbd7-0a269b9a22c1.6fa7b732394711539916500e6401f888.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['STAND BASE PEDESTAL'],"['stand base pedestal', 'stand base']"
